time_steps,latency,throughput,efficiency,completion_rate
0,81.78613708638952,736.6040772299305,74.04974708651481,0.8256488007632501
1,87.83728047053484,561.5615303038154,97.81638145034282,0.841822475868223
2,112.84675576829882,513.9890229578524,75.32268645659539,0.9284516759645324
3,89.02543487007559,697.5163552356701,77.16203999746813,0.9847103790070192
4,116.45354258357241,799.4551227350704,86.0035925012399,0.917011731352574
5,92.66436599553506,755.7993686358433,78.34243561592618,0.9834601408994208
6,90.58262304403387,708.3618757906384,81.63809837956458,0.8724855667461754
7,89.62719724383093,996.772743882454,90.76520248693669,0.8629963631095028
8,86.74338607511444,548.3856623832795,93.44729466564172,0.9804252329503723
9,111.76725149818148,765.1977523383262,77.38979196099163,0.9804238790340261
10,92.5780852420105,982.440553876565,73.75720924925064,0.8903593567128086
11,92.81803836199626,614.4054563625917,97.79144766975809,0.9421384126569389
12,101.52667126657492,579.2147774970264,74.0224632050928,0.8195146690182249
13,103.50037265935794,540.0137302277013,90.00343201890564,0.8401899048978493
14,100.58427808087427,607.4729203049458,99.21919489162423,0.804623974077221
15,105.4003436033558,728.6535320377847,77.20370416089304,0.8988080583404636
16,89.98359866012171,902.8783325376776,97.11068973092853,0.8717327441030867
17,82.05957220280023,696.353402155172,97.49045840012121,0.9268263572878936
18,87.02111998048792,783.5127167002805,85.7270044475377,0.9203367469427866
19,87.85327735675264,950.9931140030214,85.35947962069021,0.9929906771761788
20,87.66188223055873,818.1753310186843,89.70068887083754,0.8583618554890782
21,116.63407588698202,934.950145695779,82.83906092525724,0.9752657165186638
22,88.80142772489997,512.110182728688,86.74615679268551,0.8422437194215829
23,105.78190472967174,517.0508464987115,74.40533298511248,0.8488457032580794
24,112.44823453967211,672.2179043961256,89.89758386015941,0.9278448815118203
25,83.39044770528244,926.9916011593206,89.79439773246162,0.8540369347682184
26,111.85344960778716,564.8221713023555,91.61458107189307,0.9191826482890716
27,80.08850504736891,922.5836261115605,72.97483268453134,0.8340926337061375
28,106.26467917681472,581.0842288512321,98.69800279193295,0.9569514277056308
29,80.90292070018842,809.3081048120036,87.08535818597962,0.8312971587729777
30,89.92407818788325,609.0666817969452,77.19276110006784,0.8010993961517185
31,107.65644437163954,756.9968793102187,96.0573078019854,0.9066153948443868
32,83.38297036848779,839.1579657974416,71.39742063232815,0.8061066353066346
33,104.58053463094119,828.1389304564946,80.92943859299912,0.941195166231961
34,98.93388620871174,528.8050932852433,70.3263651041759,0.9744952092241109
35,102.81514634134928,980.8258406170246,90.14609898834017,0.9949573545033825
36,117.4797064818541,508.48957219550346,97.75254268220617,0.9819427634265473
37,112.88998279625166,624.6358735928907,85.58929167322633,0.8640566404248895
38,117.18735547548383,884.1374807715922,96.66936134737705,0.86178662034336
39,114.4315389429787,518.5072574885129,96.54279271332923,0.8713951302988866
40,84.41372389191967,634.8348319807126,83.7371033758948,0.9110255052006324
41,105.35624415341299,987.5518538487352,97.5436027063429,0.9331013441656527
42,86.43295848862745,527.8170922538595,90.15721619237881,0.8131244317758572
43,93.68913984638247,729.1690294515578,99.7602513910471,0.9990687980578797
44,110.96215257568286,754.0386576676676,73.8757184648701,0.9802315938357304
45,97.50382588498226,568.1032987695601,91.84845143827698,0.8609197184780432
46,116.28799854359028,820.1963691907304,70.19547952331638,0.8694334249474889
47,83.62890222508449,577.8521324116101,82.66804078678982,0.8872101887470587
48,97.25775189960902,519.1731449971043,88.66328816935615,0.8306501275264898
49,102.51187269429913,836.1773054434739,87.71720118955679,0.8750791396645536
